ano;cod_ies;igc;igc_fx
2013;1;3.03949499130249;4
2013;2;3.94261431694031;4
2013;3;3.0516996383667;4
2013;4;2.75667238235474;3
2013;5;2.90871572494507;3
2013;6;3.49328637123108;4
2013;7;4.01419067382812;5
2013;8;4.07059812545776;5
2013;9;3.64348459243774;4
2013;10;2.88239741325378;3
2013;11;2.44252896308899;3
2013;12;3.20216822624207;4
2013;13;2.97500085830688;4
2013;14;3.5714704990387;4
2013;15;2.83777451515198;3
2013;17;3.59563708305359;4
2013;18;3.08920359611511;4
2013;19;2.53445529937744;3
2013;20;2.99736618995666;4
2013;21;3.56560158729553;4
2013;22;2.85980224609375;3
2013;23;3.2524242401123;4
2013;24;3.01085543632507;4
2013;27;2.03901362419128;3
2013;29;2.68456983566284;3
2013;30;2.54036331176758;3
2013;32;2.39950752258301;3
2013;38;2.1143946647644;3
2013;40;2.45409774780273;3
2013;43;3.69448685646057;4
2013;47;2.27406883239746;3
2013;54;4.17866516113281;5
2013;56;3.84875512123108;4
2013;57;3.47442579269409;4
2013;71;2.69623804092407;3
2013;76;2.82976627349853;3
2013;81;2.56547975540161;3
2013;82;2.8381073474884;3
2013;83;3.13527393341064;4
2013;95;2.33379435539246;3
2013;107;3.36017298698425;4
2013;137;3.11288714408874;4
2013;140;2.60935354232788;3
2013;143;2.33771514892578;3
2013;150;2.58835959434509;3
2013;163;2.46101021766663;3
2013;165;3.23043632507324;4
2013;167;2.59598183631897;3
2013;176;2.07804799079895;3
2013;203;2.78028082847595;3
2013;208;3.13273024559021;4
2013;215;2.47123527526855;3
2013;221;3.01891398429871;4
2013;227;3.00265288352966;4
2013;240;1.11595559120178;2
2013;264;1.897006213665008;1.0
2013;266;2.63030552864075;3
2013;271;3.0711407661438;4
2013;275;2.69368386268616;3
2013;295;3.20403242111206;4
2013;296;2.34316062927246;3
2013;298;2.41203641891479;3
2013;308;1.9595707654953;3
2013;316;2.96130061149597;4
2013;319;2.36935377120972;3
2013;322;3.35127687454224;4
2013;330;2.33092617988586;3
2013;338;2.84996438026428;3
2013;355;2.6173574924469;3
2013;367;2.95039939880371;4
2013;375;2.12406373023987;3
2013;383;2.66481971740723;3
2013;385;2.65789341926575;3
2013;387;2.71766042709351;3
2013;398;2.78627872467041;3
2013;403;2.83143782615662;3
2013;409;2.52995157241821;3
2013;417;2.5065495967865;3
2013;420;3.07954812049866;4
2013;423;2.82334733009338;3
2013;437;2.74954724311829;3
2013;441;2.91411209106445;3
2013;446;2.89016056060791;3
2013;449;2.36112093925476;3
2013;457;2.30955696105957;3
2013;458;2.28084444999695;3
2013;466;2.87191581726074;3
2013;472;2.75124835968018;3
2013;481;2.19627404212952;3
2013;482;2.84832572937012;3
2013;494;2.76496005058289;3
2013;496;2.55507922172546;3
2013;513;2.13527154922485;3
2013;519;2.23513865470886;3
2013;521;2.45841455459595;3
2013;526;2.53174829483032;3
2013;527;2.31041669845581;3
2013;528;3.71804308891296;4
2013;532;3.18483304977417;4
2013;546;3.40790677070618;4
2013;547;3.04451656341553;4
2013;548;2.76789927482605;3
2013;549;2.58272194862366;3
2013;550;2.7683801651001;3
2013;555;2.70902395248413;3
2013;568;2.12543296813965;3
2013;569;3.01066446304321;4
2013;570;3.67546081542969;4
2013;571;3.57507133483887;4
2013;572;3.25756072998047;4
2013;573;3.13259816169739;4
2013;574;3.40749669075012;4
2013;575;4.1366605758667;5
2013;576;3.65637469291687;4
2013;577;2.88414216041565;3
2013;578;3.38419079780579;4
2013;579;3.43714809417725;4
2013;580;3.56167674064636;4
2013;581;4.29464960098267;5
2013;582;3.71540331840515;4
2013;583;3.6206591129303;4
2013;584;3.62169337272644;4
2013;585;4.01512861251831;5
2013;586;3.85973000526428;4
2013;587;2.99564290046692;4
2013;588;3.60097885131836;4
2013;589;3.22533178329468;4
2013;590;2.4631245136261;3
2013;591;4.05380487442017;5
2013;592;4.18469619750977;5
2013;595;3.56032538414001;4
2013;596;3.36844325065613;4
2013;597;3.74218964576721;4
2013;598;3.66630935668945;4
2013;599;2.44856381416321;3
2013;600;2.48426413536072;3
2013;601;3.33149552345276;4
2013;605;2.26932740211487;3
2013;609;3.58113718032837;4
2013;634;3.50069117546082;4
2013;663;2.44438481330872;3
2013;664;2.88113641738892;3
2013;665;2.64514422416687;3
2013;666;2.08020257949829;3
2013;669;2.28196144104004;3
2013;670;2.81383585929871;3
2013;671;2.31642127037048;3
2013;688;2.89270997047424;3
2013;693;3.32021570205688;4
2013;694;3.02508044242859;4
2013;699;2.74765849113464;3
2013;717;3.82280516624451;4
2013;718;2.41428709030151;3
2013;719;2.52880334854126;3
2013;730;3.34317779541016;4
2013;746;2.60898351669312;3
2013;756;2.619553565979;3
2013;780;2.94765186309814;4
2013;789;2.89050078392029;3
2013;823;2.89510846138;3
2013;829;1.39147686958313;2
2013;830;2.54012060165405;3
2013;952;2.97030758857727;4
2013;953;2.33798956871033;3
2013;1027;3.91238069534302;4
2013;1028;2.50735974311829;3
2013;1036;2.6279501914978;3
2013;1042;3.18568205833435;4
2013;1082;3.1211473941803;4
2013;1120;2.31287145614624;3
2013;1126;3.51302170753479;4
2013;1128;2.4487988948822;3
2013;1153;1.93457043170929;2
2013;1166;2.99666976928711;4
2013;1189;2.36493802070618;3
2013;1303;3.04251766204834;4
2013;1557;2.46614336967468;3
2013;1578;3.3480269908905;4
2013;1586;2.58901500701904;3
2013;1807;2.46439290046692;3
2013;1808;3.39337229728699;4
2013;1809;2.60099935531616;3
2013;1810;2.96863341331482;4
2013;1811;2.97094655036926;4
2013;1812;2.89936184883118;3
2013;1813;1.86052238941193;2
2013;1820;2.72253274917603;3
2013;2564;3.43295621871948;4
2013;3151;2.64907622337341;3
2013;3160;2.85146069526672;3
2013;3161;2.06071400642395;3
2013;3162;3.36470651626587;4
2013;3163;2.89958143234253;3
2013;3164;2.96718454360962;4
2013;3165;3.25923156738281;4
2013;3172;2.56602621078491;3
2013;3183;2.27587366104126;3
2013;3184;2.6778461933136;3
2013;3188;2.6367826461792;3
2013;3189;2.97736740112305;4
2013;3279;2.92287135124207;3
2013;3336;3.35440826416016;4
2013;3849;2.92621564865112;3
2013;3974;2.04868841171265;3
2013;3984;3.02716994285583;4
2013;4098;2.81022024154663;3
2013;4358;3.25101017951965;4
2013;4503;3.09534549713135;4
2013;4504;3.50306367874145;4
2013;4785;2.60728764533997;3
2013;4786;3.03978157043457;4
2013;4925;4.2000527381897;5
2013;5036;3.031339131654633;3.0
2013;5077;2.00493454933166;3
2013;5242;2.040144928024126;2.0
2013;5322;3.22339797019958;4
2013;5701;2.36847281455994;3
2013;14509;2.8711320469824497;2.0
2013;14724;2.36242008209229;3
2013;15015;2.77761173248291;3
2013;15032;2.2740364074707;3
2013;15059;1.93059515953064;2
2013;15121;3.4180792004436764;3.0
2013;15497;3.384896611733032;3.0
2013;15507;1.67703497409821;2
