cluster,nu_ano_censo,tp_sexo,faixa_etaria,in_apoio_social,nu_carga_horaria,pib,inscritos_por_vaga,igc,duracao_ideal_anos,taxa_integralizacao,in_financiamento_estudantil_0.0,in_financiamento_estudantil_1.0,in_financiamento_estudantil_8.0,tp_grau_academico_1,tp_grau_academico_2,tp_grau_academico_3,tp_grau_academico_4,tp_grau_academico_5,no_regiao_ies_Centro_Oeste,no_regiao_ies_Nordeste,no_regiao_ies_Norte,no_regiao_ies_Sudeste,no_regiao_ies_Sul,tp_escola_conclusao_ens_medio_1.0,tp_escola_conclusao_ens_medio_2.0,tp_escola_conclusao_ens_medio_9.0,sigla_uf_curso_AC,sigla_uf_curso_AL,sigla_uf_curso_AM,sigla_uf_curso_AP,sigla_uf_curso_BA,sigla_uf_curso_CE,sigla_uf_curso_DF,sigla_uf_curso_ES,sigla_uf_curso_GO,sigla_uf_curso_MA,sigla_uf_curso_MG,sigla_uf_curso_MS,sigla_uf_curso_MT,sigla_uf_curso_PA,sigla_uf_curso_PB,sigla_uf_curso_PE,sigla_uf_curso_PI,sigla_uf_curso_PR,sigla_uf_curso_RJ,sigla_uf_curso_RN,sigla_uf_curso_RO,sigla_uf_curso_RR,sigla_uf_curso_RS,sigla_uf_curso_SC,sigla_uf_curso_SE,sigla_uf_curso_SP,sigla_uf_curso_TO,"nm_categoria_Agricultura, silvicultura, pesca e veterinária",nm_categoria_Artes e humanidades,"nm_categoria_Ciências naturais, matemática e estatística","nm_categoria_Ciências sociais, comunicação e informação",nm_categoria_Computação e Tecnologias da Informação e Comunicação (TIC),nm_categoria_Educação,"nm_categoria_Engenharia, produção e construção","nm_categoria_Negócios, administração e direito",nm_categoria_Saúde e bem-estar,nm_categoria_Serviços,tp_categoria_administrativa_4,tp_categoria_administrativa_5,tp_categoria_administrativa_6,tp_categoria_administrativa_7,tp_categoria_administrativa_8,tp_cor_raca_0.0,tp_cor_raca_1.0,tp_cor_raca_2.0,tp_cor_raca_3.0,tp_cor_raca_4.0,tp_cor_raca_5.0,tp_cor_raca_9.0,tp_modalidade_ensino_1
0,-0.9726045604125315,0.01959060105657899,0.02017145741526342,-0.1447237092261579,-0.14581482206873628,0.09210023824798802,-0.09879704476103653,-0.02653232056275027,-0.3567361624597091,0.09539906972920703,-0.013304407535314115,0.014258114835084794,-0.01930256930506445,0.010440336174846299,-0.03515949116986002,0.0344587617477299,-0.04444322310956012,0.001744816882981106,-0.15792299563639384,0.05751982094999371,-0.00010781354555066575,0.12076013231624368,-0.11978357037821737,0.01881141634679499,-0.020100543665421022,0.010231937163950976,0.01791388417336526,0.009152190145804203,-0.007502094708476481,0.011682351628052557,0.030784966920137043,0.04626805450652296,-0.07068058451418982,0.0031265222129740074,-0.11491251285991251,0.019206771791755756,0.043851149106355014,-0.06585435898060335,-0.07239931801755299,-0.004679479373933996,0.0060445748884820375,0.004862073677799761,-0.0022339752708730107,0.015182221008561812,0.046289213386837634,0.015254859696557918,0.0072702853050262955,-0.026616777694864185,-0.1340252451587242,-0.08402477273321605,0.012145399668510358,0.08342683525281801,0.005271234476031513,-0.006347761113857048,0.007710427244290844,0.004724566691715624,0.0071457556553389,0.012398196240253165,-0.03500603497588562,0.07931074190569445,-0.015195501302348199,-0.04407335951490633,0.01279615228757112,0.031493286424848506,-0.03834185941531868,0.03192848482029294,-0.009254378281450584,-0.0584570594683224,0.0642955326010022,-0.05333518398682689,0.01219468772899236,-0.003346220508290917,-0.007767649236203507,0.005981657602454586,-0.0012947321732913498,0.0
1,1.0281554571817204,0.0032278547416578767,0.010344743431193428,-0.1447237092261579,-0.14498919148271516,0.10867501158897538,-0.07060717072014361,-0.01841841879565837,-0.3644679146130463,0.11708316175345104,0.008474932631444798,-0.007645394191002141,-0.016773094622525377,0.005842080319208653,-0.04328816893834085,0.05081884816492125,-0.045038755177440326,0.002282823438531646,-0.13756006201450893,0.052758777369905745,-0.006573797650058381,0.12592994967525442,-0.13288674296821412,0.03925816649498267,-0.03823752219695149,-0.009234225266678399,-0.004001656677930016,0.007346578426049365,-0.012546560878992813,0.01431323068732328,0.034962513654690955,0.010833518913474744,-0.06997040172941243,0.026908510785546708,-0.09790616833183789,0.020513957825035452,0.03201465600596554,-0.052574941512699445,-0.062385822811906966,-0.007007959483002954,-0.016461079495753612,0.023356031379201152,0.0234280333925781,-0.003800896130501491,0.017845800252092366,0.012999419656414133,0.007273321612716364,-0.022373348418860014,-0.14103869091893023,-0.07635575273230452,0.016449220086372788,0.10713960652044476,0.009430189456245927,0.01016923825375175,0.016234739039811034,0.01041059823302482,0.017593273300933063,0.010079649859531165,-0.04255810103579778,0.010149091742990595,-0.00020046279564357874,-0.016505826040335923,0.032724736915408816,0.04362125107279253,-0.045419548840556885,0.03265241708804905,-0.004509990720186855,-0.07234606577007471,-0.005712611311200785,-0.04407516520223884,0.02041519519623882,0.041445710955335745,0.0021864351258584253,0.002096967331981444,0.0019379567158343027,0.0
2,0.12405166338017172,-0.11388131303637354,-0.25231614527232515,-0.1334834872103952,3.7979736434268547,-0.11170061196502849,2.414030969875903,0.4280264931983201,0.7392590272354889,-0.3202809294475395,0.270845709991968,-0.26961272146569254,-0.024720050342791407,0.34226424810637585,-0.24692141846798607,-0.21738672677863136,-0.045038755177440326,-0.009512275682511225,-0.10915611623405758,0.033460227337936625,0.010917823009064869,0.060039944902676265,-0.04918739863306583,-0.891651236141599,0.8981194802965188,-0.03465431363124761,-0.00913780681935615,0.023296307500496723,-0.07573741451665539,-0.05972084518030331,-0.03802774894422694,-0.001499321404914625,-0.0784364150355755,0.08234971893702282,-0.08686989517910751,-0.060653052642117115,0.21696099277210407,-0.02326155180471678,-0.048215677505920665,0.020380698838994304,0.35309291411565863,-0.058409900768774746,0.0003116148892002644,-0.01915839749317611,0.08179351438787529,-0.015580828716610932,0.09130494959785905,-0.037925716740649096,-0.0825927828692996,0.03397378189814972,-0.0450725774931052,-0.13825489475936742,0.07521793150246164,-0.09935699889001498,-0.12172416516288773,-0.07480213999836617,-0.2344705435440932,-0.06534902480520728,-0.24676626932207338,-0.42115898830160065,-0.6886984867846743,1.5145794285371033,-0.11891885554737847,-0.14188303615412212,0.1490508418590407,-0.02255327302500751,0.07749767091785795,0.04396319567715469,-0.13242187933636432,0.3760439315785165,-0.17302523900815334,-0.19943915800108866,0.024573623078298554,-0.05335857931414322,-0.010148529258857212,0.0
3,-0.05240979278481533,-0.02092574335983456,-0.12484406471420216,6.9096396278665155,0.13673038329767487,0.08064814628529597,-0.10397716229186987,0.5109563407861168,0.33454432008626306,-0.13428889571326216,0.09943840205938839,-0.14467091952748837,0.9150502954295636,-0.04121782926088516,0.1215333845922063,-0.07890887211410176,0.004155024793523608,-0.009512275682511225,-0.0443497563043782,-0.30564544768270757,-0.18882573970647892,-0.011988511566637524,0.5408839426795163,-0.0011644958708077761,-0.00016288515505895088,0.01096529031274861,-0.015267901429838962,0.10712413857133343,-0.12727439018423928,-0.06900145969319034,-0.21092293595472106,-0.1374784385042842,-0.13428942023518142,-0.09996872493594819,-0.08445388696042097,-0.15524855236522692,-0.030698630719797594,0.03596641816857603,0.1113830705136589,-0.11973894359612186,-0.11343788573828188,-0.1584015453123108,0.09557180196978042,0.025921966333850306,0.07308777615683984,-0.10134883690367624,-0.03433019261357024,0.049652920256123834,0.8293230455133616,-0.0324086725474727,0.02073924578673895,0.012218834391803395,-0.074942399438614,0.1839851279340959,0.030359075343262976,0.0515302454473997,0.05856687140527315,0.03659208740503994,0.11494826735097882,0.008969160496104533,-0.1014203859106044,-0.07879076189137822,-0.048206426032646424,-0.3091574071241052,0.471415751673107,-0.20671404570249222,0.08492083236023948,0.1853772331122207,-0.22531363680224836,0.22971133868723687,-0.046490357237021954,-0.0031523896052057083,-0.015448912956834168,-0.09663060573412031,-0.030836554748134754,0.0
4,-0.059047821352508766,-0.043178873751164776,-0.010015848927798283,-0.1447237092261579,-0.1480206270780342,-0.6796745880276723,-0.11267887916706013,-0.05922217748182628,2.2363508967962464,-0.6203815070875117,-0.07980664295712984,0.08102548689174738,-0.024720050342791407,-0.15272278416610932,0.3261202604546429,-0.21738672677863136,0.32497962912624045,-0.009512275682511225,1.0731231431797739,-0.3423793249784855,0.05216359342156737,-0.8763125194487013,0.8018265685893197,0.06668329114384998,-0.06726892977079621,0.0034315986509619164,-0.044949125049507196,-0.08322823611942445,0.11427085779921885,-0.06065050337276225,-0.1812012606306401,-0.17791406019621867,0.5375906147131191,-0.11028165312515895,0.7846514044835979,-0.09345797385495774,-0.3254570393709284,0.4150856056764876,0.46633594632860303,0.05518360675463922,-0.051778467743901484,-0.05204880779649184,-0.08848341537902399,-0.03999560768163847,-0.26327952887693173,-0.07657614896791477,-0.07219823557685866,0.17408121889118716,0.8406078529892325,0.5556684217861837,-0.08949415802242325,-0.6236737960155404,-0.06056297274888637,-0.014001261223829425,-0.05159899290121013,-0.038823258513558785,-0.025272472832574697,-0.06534902480520728,0.3241763646008617,-0.19301995021645507,0.2790504844017965,-0.22703369069852083,-0.11321292618431816,-0.16510261547215574,0.16547994091649482,-0.18278108730123496,0.010486981064429527,0.41005176198135274,-0.13144167815770463,0.1881454859990351,-0.05318278125186755,-0.06893084707030854,0.0155862871829427,0.0042072213433225905,0.006394772331975896,0.0
