cluster,nu_ano_censo,tp_sexo,faixa_etaria,in_apoio_social,nu_carga_horaria,pib,inscritos_por_vaga,igc,duracao_ideal_anos,taxa_integralizacao,in_financiamento_estudantil,tp_grau_academico,no_regiao_ies,tp_escola_conclusao_ens_medio,sigla_uf_curso,nm_categoria,tp_categoria_administrativa,tp_cor_raca,tp_modalidade_ensino
0,-0.9726045604125315,0.01959060105657899,0.02017145741526342,-0.1447237092261579,-0.14581482206873628,0.09210023824798802,-0.09879704476103653,-0.02653232056275027,-0.3567361624597091,0.09539906972920703,0.015621697225154454,0.025249325816995495,0.09121886656527985,0.01638129905872233,0.0355800632280718,0.02247084969318613,0.03389501368204662,0.021173666262437402,0.0
1,1.0281554571817204,0.0032278547416578767,0.010344743431193428,-0.1447237092261579,-0.14498919148271516,0.10867501158897538,-0.07060717072014361,-0.01841841879565837,-0.3644679146130463,0.11708316175345104,0.010964473814990772,0.029454135207688546,0.09114186593558833,0.028909971319537518,0.03449029139912164,0.016662571721722853,0.039709854698332006,0.01683857740552691,0.0
2,0.12405166338017172,-0.11388131303637354,-0.25231614527232515,-0.1334834872103952,3.7979736434268547,-0.11170061196502849,2.414030969875903,0.4280264931983201,0.7392590272354889,-0.3202809294475395,0.18839282726681736,0.17222468484258896,0.05255230202336023,0.6081416766897885,0.06878656490050739,0.35858249008933996,0.08698960352663661,0.1384301342250603,0.0
3,-0.05240979278481533,-0.02092574335983456,-0.12484406471420216,6.9096396278665155,0.13673038329767487,0.08064814628529597,-0.10397716229186987,0.5109563407861168,0.33454432008626306,-0.13428889571326216,0.38638653900548015,0.05106547728864561,0.2183386795879437,0.00409755711287178,0.11334081610351714,0.07133684092167843,0.2515170539944329,0.0925119708244003,0.0
4,-0.059047821352508766,-0.043178873751164776,-0.010015848927798283,-0.1447237092261579,-0.1480206270780342,-0.6796745880276723,-0.11267887916706013,-0.05922217748182628,2.2363508967962464,-0.6203815070875117,0.061850726730556214,0.20614433524162706,0.6291610299235695,0.04579460652186937,0.23847061185005478,0.13315384263783328,0.18678047734713357,0.06684129619102243,0.0
