Instituicao,Baseline,Apoio_Universal,Delta_Apoio,Financ_Universal,Delta_Financ,Uplift_Grupo_Risco
PUBLICA,0.6289969413859773,0.6246722919230453,-0.004324649462931984,0.6287449904024724,-0.0002519509835048339,0.005008515176002981
PRIVADA,0.5563715867474588,0.5650177280831223,0.008646141335663549,0.5591480235543179,0.0027764368068591283,0.004761234423377836
