model,dataset,search_method,n_iterations,best_params,best_score,r2_score,mse
LightGBM,publica,grid,N/A,"{'learning_rate': 0.1, 'max_depth': 20, 'min_child_samples': 20, 'n_estimators': 500, 'num_leaves': 70, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",-0.06806870991780915,0.7594865071282069,0.04156025510277184
LightGBM,privada,grid,N/A,"{'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'n_estimators': 500, 'num_leaves': 70, 'reg_alpha': 0.0, 'reg_lambda': 0.1}",-0.0611021878130619,0.6198425711771035,0.047283380682633144
