model,dataset,search_method,n_iterations,best_params,best_score,r2_score,mse
SVR,publica,grid,N/A,"{'C': 1, 'epsilon': 0.2, 'kernel': 'rbf'}",-2.395732289220875,0.2146624257760189,2.4085029742143056
SVR,privada,grid,N/A,"{'C': 1, 'epsilon': 0.2, 'kernel': 'rbf'}",-1.8049733213766024,0.1294154412657207,1.7699161532709775
