model,dataset,search_method,n_iterations,best_params,best_score,r2_score,mse
RandomForest,publica,grid,N/A,"{'criterion': 'squared_error', 'max_depth': 100, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 700}",-0.05846999856363586,0.7685470285991166,0.03999461494180225
RandomForest,privada,grid,N/A,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600}",-0.05100735210711636,0.6670774437046536,0.04140838182720821
