model,dataset,search_method,n_iterations,best_params,best_score,r2_score,mse
RandomForest,publica,grid,N/A,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.06709297171509933,0.7672797512853795,0.04021359795109623
RandomForest,privada,grid,N/A,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.057095299472790705,0.667258308779517,0.04138588611480445
