cluster,nu_ano_censo,tp_cor_raca,tp_sexo,in_financiamento_estudantil,in_apoio_social,tp_escola_conclusao_ens_medio,tp_grau_academico,tp_modalidade_ensino,tp_categoria_administrativa,sigla_uf_curso,nm_categoria,no_regiao_ies
0,2018,1.0,1.0,8.0,0.0,1.0,1,1,1,MG,Educação,Nordeste
1,2019,1.0,2.0,8.0,0.0,1.0,1,1,2,SP,"Engenharia, produção e construção",Sudeste
